best,average,min,species,neurons,links
181.0,-725.44,-2186.0,1,38,105
488.0,-459.66,-1672.0,1,38,105
790.0,-167.13,-1809.0,1,38,105
865.0,-78.62,-1962.0,1,38,105
781.0,174.47,-862.0,1,38,105
688.0,273.66,-1212.0,1,38,105
1024.0,415.36,-1312.0,1,38,105
1012.0,448.44,-1119.0,1,38,105
881.0,326.17,-869.0,4,38,105
831.0,200.75,-1369.0,3,38,105
874.0,63.89,-1462.0,3,38,105
1067.0,212.6,-1399.0,5,38,105
831.0,167.3,-1586.0,5,38,105
1024.0,141.36,-662.0,7,42,111
1060.0,131.17,-1412.0,9,43,111
881.0,197.78,-1162.0,11,43,112
731.0,203.01,-1012.0,9,41,109
1024.0,353.7,-712.0,10,38,105
915.0,240.79,-1083.0,9,45,113
924.0,216.05,-1112.0,9,38,105
874.0,205.72,-712.0,8,38,105
1108.0,281.94,-619.0,8,38,105
1000.0,287.48,-712.0,7,42,111
1001.0,223.41,-812.0,7,44,113
1202.0,316.79,-769.0,7,38,105
781.0,302.74,-712.0,7,44,113
1024.0,224.69,-949.0,7,42,111
1065.0,278.93,-1006.0,7,38,105
924.0,291.7,-712.0,7,38,105
865.0,253.12,-712.0,7,38,105
974.0,202.82,-869.0,6,42,111
1117.0,281.33,-712.0,6,42,111
974.0,259.53,-712.0,6,38,105
688.0,253.8,-712.0,6,42,111
1074.0,218.3,-1299.0,6,42,111
1115.0,188.55,-1019.0,6,38,105
874.0,255.96,-1095.0,6,38,105
874.0,271.18,-1062.0,6,44,114
1074.0,334.5,-712.0,6,38,105
1024.0,230.15,-1612.0,6,44,114
974.0,312.36,-1019.0,6,44,113
1024.0,329.79,-312.0,6,42,111
831.0,356.09,-712.0,6,42,111
688.0,351.18,-783.0,6,42,111
1408.0,374.72,-806.0,6,38,104
1181.0,286.42,-962.0,6,42,112
831.0,264.55,-1369.0,6,44,113
1198.0,402.42,-712.0,6,42,112
1731.0,387.91,-912.0,6,42,112
1218.0,395.98,-712.0,6,42,112
1619.0,434.32,-1012.0,6,42,112
1769.0,352.6,-1499.0,6,42,112
1267.0,425.09,-712.0,6,42,112
1287.0,394.8,-2025.0,7,42,112
1955.0,308.48,-1286.0,7,42,114
2044.0,409.26,-712.0,7,42,114
1909.0,475.5,-902.0,7,42,114
1355.0,366.6,-812.0,7,42,114
1747.0,386.94,-869.0,7,42,114
1911.0,494.63,-929.0,7,42,114
1535.0,424.08,-712.0,7,42,114
1798.0,476.32,-1562.0,7,44,117
1453.0,438.45,-362.0,7,42,114
1375.0,339.6,-662.0,7,42,114
1933.0,391.96,-819.0,7,42,114
1356.0,331.61,-1269.0,7,42,114
1732.0,418.91,-812.0,6,42,115
1970.0,416.17,-1112.0,6,42,114
1532.0,338.86,-962.0,6,42,115
1016.0,283.94,-1112.0,6,42,113
1628.0,310.3,-712.0,7,42,113
1738.0,397.53,-712.0,7,44,115
1462.0,455.64,-662.0,7,44,115
2389.0,345.32,-962.0,7,42,113
1481.0,394.53,-1269.0,7,43,114
2313.0,379.7,-849.0,8,44,116
1505.0,420.48,-819.0,6,44,116
2214.0,543.24,-462.0,6,44,117
1900.0,527.34,-1256.0,6,44,117
1495.0,385.43,-712.0,6,44,117
2548.0,466.56,-571.0,6,44,117
1142.0,288.09,-915.0,6,44,117
1891.0,318.26,-806.0,6,44,117
1708.0,375.06,-875.0,5,44,117
1923.0,555.84,-712.0,5,44,117
2061.0,485.72,-612.0,5,44,117
1748.0,557.87,-1219.0,5,44,117
1906.0,632.09,-1162.0,5,44,115
1883.0,508.28,-1035.0,5,44,115
1870.0,618.53,-465.0,5,44,117
1828.0,548.16,-908.0,5,44,117
1703.0,472.85,-952.0,5,44,115
2190.0,658.24,-962.0,5,44,115
1905.0,696.48,-1234.0,5,44,115
1755.0,660.16,-469.0,5,44,115
1783.0,601.3,-656.0,5,44,117
1737.0,596.8,-712.0,5,44,117
2017.0,665.51,-469.0,5,44,117
1799.0,687.18,-676.0,6,44,117
2124.0,503.64,-712.0,6,44,117
2634.0,644.9,-1112.0,6,44,116
1877.0,563.27,-1119.0,5,44,117
2141.0,591.91,-1289.0,4,44,115
1733.0,675.58,-635.0,5,44,118
1914.0,694.87,-712.0,4,44,115
1759.0,657.61,-428.0,4,44,117
2260.0,680.12,-962.0,4,44,117
1955.0,649.4,-712.0,4,44,117
2171.0,670.76,-1369.0,4,44,117
2597.0,664.23,-613.0,4,44,117
2190.0,694.98,-550.0,4,44,117
2628.0,640.62,-1056.0,5,44,117
1578.0,526.54,-1156.0,5,44,117
1928.0,650.28,-662.0,5,44,117
1698.0,606.02,-462.0,5,44,117
1691.0,613.66,-862.0,5,45,117
1860.0,586.35,-869.0,5,45,117
1914.0,588.26,-802.0,5,45,117
2507.0,693.87,-1006.0,5,45,117
2212.0,783.56,-906.0,5,45,117
2296.0,786.15,-712.0,5,44,117
2451.0,740.1,-712.0,5,44,117
2311.0,708.07,-562.0,5,45,117
3134.0,822.09,-1079.0,5,44,117
2877.0,677.69,-362.0,5,45,117
2351.0,768.44,-947.0,5,45,117
2052.0,664.55,-1457.0,5,45,117
2001.0,619.04,-1236.0,5,45,117
2339.0,656.52,-1249.0,5,45,117
2200.0,861.43,-412.0,5,44,117
2054.0,743.06,-549.0,5,45,117
2475.0,854.03,-856.0,5,44,117
2656.0,748.08,-890.0,5,45,117
2051.0,786.49,-1526.0,5,44,118
2397.0,692.78,-612.0,6,45,117
2481.0,761.61,-419.0,6,45,117
2000.0,720.12,-1084.0,6,44,117
2609.0,781.12,-1904.0,6,45,117
2037.0,628.73,-449.0,6,45,117
2311.0,716.92,-662.0,6,45,117
3145.0,892.16,-601.0,5,45,117
2388.0,757.14,-1015.0,5,45,121
2121.0,840.01,-469.0,5,45,117
2521.0,1006.17,-112.0,5,45,117
2205.0,867.37,-390.0,5,45,117
2210.0,874.86,-469.0,5,44,117
2404.0,929.64,-199.0,5,44,116
2235.0,959.84,-212.0,5,44,116
2921.0,880.78,-993.0,5,44,116
2414.0,956.18,-626.0,5,45,118
2248.0,894.77,-1276.0,5,44,116
2593.0,959.58,-537.0,5,44,116
2628.0,947.8,-1040.0,5,44,116
2402.0,816.0,-1336.0,5,44,116
2954.0,979.78,-695.0,5,45,118
2655.0,923.53,-844.0,5,45,118
2323.0,914.61,-477.0,5,45,118
2970.0,963.03,-1323.0,5,45,118
3015.0,1021.41,-587.0,5,45,118
3346.0,998.42,-690.0,5,44,116
2334.0,955.86,-748.0,5,45,121
2275.0,945.37,-747.0,5,44,116
3128.0,1046.65,-549.0,5,45,118
3023.0,1033.41,-488.0,4,45,118
2862.0,971.36,-1206.0,4,45,118
2521.0,923.05,-1332.0,4,45,118
2806.0,859.42,-452.0,4,44,116
2411.0,949.37,-1286.0,4,45,118
3053.0,880.03,-469.0,4,45,118
2615.0,986.46,-1336.0,4,45,118
3865.0,1142.31,-349.0,4,45,118
2904.0,1057.25,-1192.0,4,45,118
2630.0,1053.81,-416.0,4,46,119
3315.0,1025.91,-806.0,4,44,116
3012.0,1121.71,-515.0,4,46,119
3289.0,1196.99,-299.0,4,46,119
3082.0,1038.22,-1743.0,4,46,119
2544.0,897.29,-519.0,4,44,117
2527.0,932.43,-531.0,4,46,119
3395.0,1021.52,-499.0,4,46,119
3059.0,1058.47,-262.0,5,46,119
3043.0,1007.59,-1357.0,5,46,119
2797.0,949.65,-336.0,5,45,118
2571.0,910.61,-499.0,5,47,121
2406.0,987.09,-919.0,5,45,118
2198.0,948.97,-269.0,5,46,119
3199.0,1027.56,-1164.0,5,47,120
3004.0,943.63,-491.0,5,46,119
3076.0,896.97,-593.0,5,45,124
2894.0,1058.93,-136.0,5,46,119
2822.0,999.73,-772.0,5,45,118
2334.0,923.82,-712.0,5,46,119
2429.0,850.64,-362.0,5,46,119
3656.0,961.88,-595.0,5,47,120
3495.0,1059.88,-836.0,5,45,118
2514.0,1041.0,-386.0,5,45,118
3278.0,920.17,-162.0,5,46,119
2644.0,1068.38,-340.0,5,46,119
2798.0,1004.38,-656.0,5,46,119
2882.0,1041.61,-43.0,5,46,119
3047.0,852.32,-894.0,5,45,124
2543.0,1003.68,-341.0,5,46,118
2156.0,880.69,-2252.0,5,46,120
2384.0,988.92,-319.0,5,46,118
4325.0,1096.64,-49.0,5,45,124
2766.0,1016.96,-1970.0,5,47,121
3413.0,978.09,-270.0,5,46,118
2607.0,903.3,-712.0,5,46,118
2939.0,941.98,-996.0,5,46,118
3003.0,893.56,-713.0,5,45,124
2467.0,969.12,-482.0,5,45,119
2878.0,1026.62,-662.0,5,45,124
2488.0,1095.64,-1118.0,5,45,124
2151.0,999.54,-799.0,5,46,120
2485.0,1110.33,-1035.0,5,46,118
2612.0,1171.69,131.0,5,47,121
2991.0,1111.47,-986.0,5,45,124
2947.0,1125.03,-1415.0,5,46,120
2718.0,979.87,-541.0,5,46,120
2571.0,986.9,-956.0,5,45,124
2702.0,977.66,-935.0,5,45,125
2687.0,1091.67,-1373.0,5,45,125
2885.0,1098.16,-549.0,5,45,125
3245.0,983.36,-1043.0,5,45,125
2605.0,1002.1,-556.0,5,45,125
2792.0,876.99,-636.0,5,45,125
2748.0,994.37,-569.0,5,45,125
2691.0,841.91,-1243.0,5,45,125
2448.0,939.14,-487.0,5,47,122
2237.0,878.8,-264.0,5,46,118
3205.0,1030.92,-599.0,5,45,125
3052.0,969.16,-362.0,5,45,125
2431.0,980.96,-432.0,5,47,121
2702.0,949.52,-309.0,5,45,125
2558.0,1050.85,-370.0,5,46,118
2857.0,935.72,-214.0,5,45,126
2871.0,972.16,-633.0,5,46,118
2364.0,998.75,-955.0,7,45,125
2491.0,1017.72,-1428.0,7,45,125
2519.0,994.39,-1043.0,7,50,125
2079.0,951.31,-896.0,8,50,125
2403.0,1059.16,-396.0,8,46,118
2451.0,1128.7,-568.0,8,46,118
2381.0,1053.22,-712.0,9,45,125
2348.0,898.93,-695.0,9,46,118
3356.0,972.2,-323.0,8,50,125
2554.0,1043.96,214.0,7,46,119
2755.0,920.89,-249.0,7,46,118
3108.0,948.83,-1056.0,7,46,118
2212.0,833.54,-350.0,7,49,123
2721.0,969.98,-489.0,7,45,125
2862.0,1011.42,-211.0,7,45,125
