train_mean,train_st_dev,train_max,train_min,train_loss,train_epsilon,test_mean,test_st_dev,test_max,test_min
535.047619048,82.080956663,721.0,357.0,0.844862495282,1.0,839.8,149.032077084,1121.0,609.0
575.825,112.903473707,821.0,297.0,2.65869,1.0,748.65,180.489411047,1121.0,456.0
585.948717949,113.027327923,846.0,401.0,2.01014,0.91,1030.65,112.985961517,1226.0,776.0
609.605263158,127.367999673,921.0,373.0,0.629836,0.82,387.95,117.156935347,756.0,251.0
692.694444444,140.253702555,1001.0,396.0,0.121275,0.730000000001,691.0,152.60242462,1021.0,496.0
688.285714286,120.496727028,1036.0,403.0,0.0333463,0.640000000001,758.25,195.419260821,1221.0,421.0
682.305555556,143.973342333,1046.0,335.0,0.0159361,0.550000000001,635.9,75.170406411,821.0,505.0
685.055555556,178.367900769,1121.0,339.0,0.0104353,0.460000000001,872.1,179.137349539,1346.0,641.0
777.428571429,196.354968028,1291.0,437.0,0.00805292,0.370000000001,819.05,83.8590931265,918.0,625.0
757.628571429,163.775645445,1146.0,496.0,0.0102178,0.280000000001,940.85,263.217452879,1421.0,496.0
869.2,180.499592402,1246.0,596.0,0.00757507,0.190000000001,1096.75,309.541091779,1751.0,616.0
842.142857143,238.941851008,1421.0,526.0,0.00767118,0.100000000001,783.0,187.137115506,1211.0,583.0
881.558823529,276.321657321,1721.0,596.0,0.00882974,0.1,1150.65,341.237201225,1806.0,579.0
878.352941176,234.122879043,1421.0,596.0,0.00756467,0.1,1130.15,353.657358894,1946.0,496.0
920.03030303,284.85769811,1506.0,481.0,0.00759365,0.1,687.75,72.5650570178,896.0,596.0
859.882352941,251.824024073,1421.0,596.0,0.00693825,0.1,1033.25,348.215001831,1746.0,596.0
1021.625,270.297145518,1526.0,596.0,0.00664361,0.1,1098.45,196.463857999,1381.0,656.0
897.852941176,273.112897616,1621.0,596.0,0.00796838,0.1,725.35,285.214002987,1591.0,583.0
870.264705882,290.506991798,1591.0,496.0,0.00788707,0.1,721.0,87.1779788708,1101.0,701.0
881.121212121,290.896707438,1691.0,596.0,0.00641313,0.1,999.6,254.09297511,1626.0,721.0
1039.87878788,319.636133807,1721.0,496.0,0.00842457,0.1,691.0,0.0,691.0,691.0
920.96875,260.301566022,1636.0,596.0,0.00921299,0.1,1298.5,130.408013557,1506.0,981.0
843.580645161,213.941019034,1291.0,596.0,0.00736374,0.1,611.5,38.7588699526,721.0,596.0
844.5625,303.627540901,1896.0,596.0,0.00526436,0.1,1132.05,113.057275308,1291.0,891.0
946.424242424,292.928994427,1806.0,596.0,0.00594622,0.1,1184.65,334.483374026,1721.0,636.0
1005.66666667,257.347620894,1486.0,596.0,0.00696298,0.1,1204.75,316.254940673,2171.0,696.0
1030.9375,269.546718759,1581.0,596.0,0.00732778,0.1,1044.45,187.772062618,1371.0,781.0
